PROVINSI,date,tempat_rekreasi,pusat_perbelanjaan_dan_apotek,taman,stasiun_transit,perkantoran,perumahan
PROVINSI ACEH,2020-02-15,-1,-2,-7,-3,3,2
PROVINSI ACEH,2020-02-16,4,3,5,4,3,1
PROVINSI ACEH,2020-02-17,4,1,5,10,8,0
PROVINSI ACEH,2020-02-18,0,-1,0,0,5,1
PROVINSI ACEH,2020-02-19,-2,-3,2,4,6,1
PROVINSI ACEH,2020-02-20,2,2,7,0,6,0
PROVINSI ACEH,2020-02-21,-1,-1,8,2,5,1
PROVINSI ACEH,2020-02-22,0,-2,4,-2,6,1
PROVINSI ACEH,2020-02-23,0,-1,3,4,4,2
PROVINSI ACEH,2020-02-24,1,-2,1,2,9,1
PROVINSI ACEH,2020-02-25,-2,-1,1,-4,8,1
PROVINSI ACEH,2020-02-26,-2,-2,2,-2,8,1
PROVINSI ACEH,2020-02-27,0,0,1,-1,8,1
PROVINSI ACEH,2020-02-28,-1,-1,0,0,8,1
PROVINSI ACEH,2020-02-29,0,-1,4,-4,9,0
PROVINSI ACEH,2020-03-01,3,2,12,-2,5,2
PROVINSI ACEH,2020-03-02,6,5,5,5,10,0
PROVINSI ACEH,2020-03-03,4,7,5,5,9,0
PROVINSI ACEH,2020-03-04,4,6,8,9,8,0
PROVINSI ACEH,2020-03-05,4,7,3,8,7,0
PROVINSI ACEH,2020-03-06,2,5,4,4,7,1
PROVINSI ACEH,2020-03-07,6,8,14,5,7,0
PROVINSI ACEH,2020-03-08,5,5,10,3,4,1
PROVINSI ACEH,2020-03-09,7,4,8,12,9,0
PROVINSI ACEH,2020-03-10,0,-2,-3,6,7,2
PROVINSI ACEH,2020-03-11,4,5,4,9,8,0
PROVINSI ACEH,2020-03-12,3,5,3,2,7,1
PROVINSI ACEH,2020-03-13,2,4,4,5,8,1
PROVINSI ACEH,2020-03-14,2,3,3,6,9,1
PROVINSI ACEH,2020-03-15,0,4,-2,-2,5,2
PROVINSI ACEH,2020-03-16,-1,6,-7,3,-3,4
PROVINSI ACEH,2020-03-17,-4,4,-6,10,-11,5
PROVINSI ACEH,2020-03-18,-4,3,-3,-3,-11,5
PROVINSI ACEH,2020-03-19,-5,4,-4,-6,-12,5
PROVINSI ACEH,2020-03-20,-9,1,-7,-16,-13,6
PROVINSI ACEH,2020-03-21,-11,-3,-17,-23,-12,7
PROVINSI ACEH,2020-03-22,-14,-6,-23,-32,2,6
PROVINSI ACEH,2020-03-23,-14,-2,-13,-25,-16,8
PROVINSI ACEH,2020-03-24,-21,-4,-18,-27,-21,9
PROVINSI ACEH,2020-03-25,-28,-13,-21,-35,-44,15
PROVINSI ACEH,2020-03-26,-31,-14,-30,-38,-24,12
PROVINSI ACEH,2020-03-27,-29,-7,-23,-30,-25,11
PROVINSI ACEH,2020-03-28,-36,-14,-40,-31,-22,12
PROVINSI ACEH,2020-03-29,-39,-21,-47,-43,-10,13
PROVINSI ACEH,2020-03-30,-40,-25,-33,-40,-29,13
PROVINSI ACEH,2020-03-31,-41,-25,-32,-41,-30,13
PROVINSI ACEH,2020-04-01,-39,-23,-31,-43,-29,13
PROVINSI ACEH,2020-04-02,-36,-18,-28,-45,-29,12
PROVINSI ACEH,2020-04-03,-37,-22,-32,-50,-28,13
PROVINSI ACEH,2020-04-04,-34,-19,-39,-51,-22,12
PROVINSI ACEH,2020-04-05,-28,-19,-40,-53,-4,10
PROVINSI ACEH,2020-04-06,-27,-20,-30,-49,-24,12
PROVINSI ACEH,2020-04-07,-21,-10,-20,-42,-24,9
PROVINSI ACEH,2020-04-08,-26,-16,-25,-45,-25,10
PROVINSI ACEH,2020-04-09,-23,-12,-23,-47,-24,9
PROVINSI ACEH,2020-04-10,-26,-17,-23,-51,-43,13
PROVINSI ACEH,2020-04-11,-24,-15,-31,-50,-19,10
PROVINSI ACEH,2020-04-12,-27,-21,-40,-55,-2,10
PROVINSI ACEH,2020-04-13,-19,-12,-21,-46,-21,9
PROVINSI ACEH,2020-04-14,-20,-11,-19,-43,-22,9
PROVINSI ACEH,2020-04-15,-20,-10,-18,-44,-22,9
PROVINSI ACEH,2020-04-16,-18,-7,-16,-44,-22,9
PROVINSI ACEH,2020-04-17,-22,-13,-22,-48,-22,10
PROVINSI ACEH,2020-04-18,-19,-8,-26,-43,-14,8
PROVINSI ACEH,2020-04-19,-19,-9,-27,-45,2,7
PROVINSI ACEH,2020-04-20,-11,0,-9,-37,-18,7
PROVINSI ACEH,2020-04-21,-12,3,-10,-35,-20,6
PROVINSI ACEH,2020-04-22,-11,8,-7,-33,-24,5
PROVINSI ACEH,2020-04-23,-19,6,-9,-40,-35,8
PROVINSI ACEH,2020-04-24,-40,-19,-32,-55,-38,14
PROVINSI ACEH,2020-04-25,-39,-20,-45,-58,-27,14
PROVINSI ACEH,2020-04-26,-35,-19,-51,-59,-5,13
PROVINSI ACEH,2020-04-27,-32,-16,-30,-49,-25,12
PROVINSI ACEH,2020-04-28,-38,-23,-38,-53,-27,12
PROVINSI ACEH,2020-04-29,-32,-15,-30,-51,-25,11
PROVINSI ACEH,2020-04-30,-34,-17,-32,-54,-26,11
PROVINSI ACEH,2020-05-01,-35,-19,-35,-60,-44,16
PROVINSI ACEH,2020-05-02,-32,-14,-42,-57,-18,12
PROVINSI ACEH,2020-05-03,-31,-17,-49,-57,-1,11
PROVINSI ACEH,2020-05-04,-27,-11,-29,-49,-22,11
PROVINSI ACEH,2020-05-05,-28,-10,-28,-50,-24,11
PROVINSI ACEH,2020-05-06,-23,-2,-21,-47,-23,10
PROVINSI ACEH,2020-05-07,-35,-18,-36,-57,-45,16
PROVINSI ACEH,2020-05-08,-38,-23,-38,-61,-31,15
PROVINSI ACEH,2020-05-09,-29,-9,-42,-54,-19,12
PROVINSI ACEH,2020-05-10,-26,-9,-48,-55,2,11
PROVINSI ACEH,2020-05-11,-20,-2,-24,-49,-21,11
PROVINSI ACEH,2020-05-12,-20,0,-25,-46,-22,10
PROVINSI ACEH,2020-05-13,-25,-9,-28,-51,-23,10
PROVINSI ACEH,2020-05-14,-17,6,-20,-44,-22,8
PROVINSI ACEH,2020-05-15,-16,5,-19,-46,-21,8
PROVINSI ACEH,2020-05-16,-18,3,-33,-48,-14,10
PROVINSI ACEH,2020-05-17,-12,7,-40,-49,7,9
PROVINSI ACEH,2020-05-18,-3,21,-7,-32,-19,7
PROVINSI ACEH,2020-05-19,-10,15,-17,-37,-23,8
PROVINSI ACEH,2020-05-20,0,32,-6,-25,-23,6
PROVINSI ACEH,2020-05-21,7,47,0,-22,-43,9
PROVINSI ACEH,2020-05-22,-4,33,-10,-33,-31,9
PROVINSI ACEH,2020-05-23,1,51,-6,-36,-26,6
PROVINSI ACEH,2020-05-24,-23,-21,-24,-55,-16,-2
PROVINSI ACEH,2020-05-25,-5,-2,38,-39,-60,2
PROVINSI ACEH,2020-05-26,2,6,55,-35,-38,0
PROVINSI ACEH,2020-05-27,2,9,51,-29,-34,2
PROVINSI ACEH,2020-05-28,0,8,36,-37,-29,4
PROVINSI ACEH,2020-05-29,-8,2,1,-42,-25,6
PROVINSI ACEH,2020-05-30,-8,2,1,-42,-18,4
PROVINSI ACEH,2020-05-31,-5,1,0,-41,3,3
PROVINSI ACEH,2020-06-01,-3,4,14,-33,-42,8
PROVINSI ACEH,2020-06-02,-5,6,-2,-35,-14,4
PROVINSI ACEH,2020-06-03,-7,5,-3,-34,-14,6
PROVINSI ACEH,2020-06-04,-9,3,-8,-39,-15,6
PROVINSI ACEH,2020-06-05,-9,3,-11,-39,-13,6
PROVINSI ACEH,2020-06-06,-8,3,-13,-40,-9,5
PROVINSI ACEH,2020-06-07,-6,2,-9,-39,8,5
PROVINSI ACEH,2020-06-08,-3,6,-4,-35,-11,5
PROVINSI ACEH,2020-06-09,-8,1,-9,-39,-13,5
PROVINSI ACEH,2020-06-10,-6,4,-4,-29,-13,5
PROVINSI ACEH,2020-06-11,-6,2,-8,-40,-13,6
PROVINSI ACEH,2020-06-12,-6,3,-11,-37,-12,6
PROVINSI ACEH,2020-06-13,-6,2,-12,-42,-7,5
PROVINSI ACEH,2020-06-14,-6,0,-8,-39,8,4
PROVINSI ACEH,2020-06-15,-8,-2,-14,-41,-12,6
PROVINSI ACEH,2020-06-16,-3,5,-7,-37,-12,5
PROVINSI ACEH,2020-06-17,-5,3,-7,-35,-12,5
PROVINSI ACEH,2020-06-18,-6,1,-11,-40,-13,5
PROVINSI ACEH,2020-06-19,-8,-1,-13,-40,-11,6
PROVINSI ACEH,2020-06-20,-6,1,-12,-40,-5,4
PROVINSI ACEH,2020-06-21,-12,-8,-21,-40,6,6
PROVINSI ACEH,2020-06-22,-5,2,-12,-37,-14,6
PROVINSI ACEH,2020-06-23,-6,2,-9,-35,-15,5
PROVINSI ACEH,2020-06-24,-8,0,-11,-36,-14,6
PROVINSI ACEH,2020-06-25,-8,0,-12,-38,-15,6
PROVINSI ACEH,2020-06-26,-8,0,-11,-36,-13,5
PROVINSI ACEH,2020-06-27,-8,0,-13,-42,-10,5
PROVINSI ACEH,2020-06-28,-8,-3,-11,-41,7,4
PROVINSI ACEH,2020-06-29,-5,1,-7,-36,-12,5
PROVINSI ACEH,2020-06-30,-8,-1,-12,-36,-13,6
PROVINSI ACEH,2020-07-01,-5,5,-9,-36,-13,5
PROVINSI ACEH,2020-07-02,-2,7,-6,-32,-13,5
PROVINSI ACEH,2020-07-03,-4,6,-9,-36,-12,5
PROVINSI ACEH,2020-07-04,-5,3,-8,-36,-10,5
PROVINSI ACEH,2020-07-05,-3,2,-6,-34,7,3
PROVINSI ACEH,2020-07-06,0,6,-5,-29,-14,5
PROVINSI ACEH,2020-07-07,-3,5,-7,-30,-13,5
PROVINSI ACEH,2020-07-08,-7,1,-13,-34,-13,6
PROVINSI ACEH,2020-07-09,-1,8,-5,-32,-13,5
PROVINSI ACEH,2020-07-10,-5,5,-11,-36,-12,5
PROVINSI ACEH,2020-07-11,-8,-1,-19,-37,-8,6
PROVINSI ACEH,2020-07-12,-4,5,-11,-36,7,4
PROVINSI ACEH,2020-07-13,-2,5,-13,-33,-9,5
PROVINSI ACEH,2020-07-14,-6,1,-12,-33,-11,5
PROVINSI ACEH,2020-07-15,-6,3,-9,-31,-10,6
PROVINSI ACEH,2020-07-16,-4,5,-8,-30,-11,5
PROVINSI ACEH,2020-07-17,-10,-2,-15,-34,-10,7
PROVINSI ACEH,2020-07-18,-5,3,-12,-31,-5,5
PROVINSI ACEH,2020-07-19,-7,-1,-15,-36,8,6
PROVINSI ACEH,2020-07-20,-1,6,-7,-31,-9,5
PROVINSI ACEH,2020-07-21,-10,-3,-19,-31,-11,7
PROVINSI ACEH,2020-07-22,-6,2,-14,-30,-9,6
PROVINSI ACEH,2020-07-23,-6,3,-14,-28,-10,6
PROVINSI ACEH,2020-07-24,-6,4,-10,-29,-8,6
PROVINSI ACEH,2020-07-25,-6,3,-15,-29,-4,6
PROVINSI ACEH,2020-07-26,-8,-2,-25,-38,8,7
PROVINSI ACEH,2020-07-27,-2,8,-11,-28,-10,6
PROVINSI ACEH,2020-07-28,-3,12,-14,-19,-13,6
PROVINSI ACEH,2020-07-29,14,42,6,-1,-15,3
PROVINSI ACEH,2020-07-30,14,57,10,-11,-36,5
PROVINSI ACEH,2020-07-31,-22,-19,6,-46,-55,3
PROVINSI ACEH,2020-08-01,-13,-9,9,-38,-37,4
PROVINSI ACEH,2020-08-02,2,5,25,-25,-14,-1
PROVINSI ACEH,2020-08-03,5,10,36,-18,-37,4
PROVINSI ACEH,2020-08-04,3,13,17,-13,-18,3
PROVINSI ACEH,2020-08-05,2,13,10,-23,-16,4
PROVINSI ACEH,2020-08-06,1,12,7,-26,-15,4
PROVINSI ACEH,2020-08-07,-4,6,-3,-30,-12,4
PROVINSI ACEH,2020-08-08,-3,6,-8,-32,-8,4
PROVINSI ACEH,2020-08-09,-1,5,-10,-32,7,3
PROVINSI ACEH,2020-08-10,1,9,-4,-26,-12,4
PROVINSI ACEH,2020-08-11,-7,-2,-12,-34,-13,2
PROVINSI ACEH,2020-08-12,-2,8,-7,-28,-13,4
PROVINSI ACEH,2020-08-13,-1,11,-7,-29,-13,4
PROVINSI ACEH,2020-08-14,-1,11,-4,-29,-10,4
PROVINSI ACEH,2020-08-15,-2,7,-10,-30,-5,3
PROVINSI ACEH,2020-08-16,-3,4,-7,-35,8,4
PROVINSI ACEH,2020-08-17,-4,1,15,-29,-40,9
PROVINSI ACEH,2020-08-18,-4,7,-5,-28,-9,3
PROVINSI ACEH,2020-08-19,-3,8,-5,-26,-11,3
PROVINSI ACEH,2020-08-20,-4,7,6,-27,-41,8
PROVINSI ACEH,2020-08-21,-10,1,-9,-37,-34,9
PROVINSI ACEH,2020-08-22,-8,0,-14,-34,1,4
PROVINSI ACEH,2020-08-23,-7,0,-12,-31,8,4
PROVINSI ACEH,2020-08-24,-2,7,-5,-24,-9,4
PROVINSI ACEH,2020-08-25,-6,5,-9,-21,-12,5
PROVINSI ACEH,2020-08-26,-5,7,-9,-30,-10,5
PROVINSI ACEH,2020-08-27,-4,9,-9,-29,-11,4
PROVINSI ACEH,2020-08-28,-10,1,-16,-36,-10,6
PROVINSI ACEH,2020-08-29,-8,3,-18,-36,5,4
PROVINSI ACEH,2020-08-30,-7,1,-13,-34,7,5
PROVINSI ACEH,2020-08-31,-8,-1,-15,-35,-10,6
PROVINSI ACEH,2020-09-01,-2,13,-5,-29,-11,4
PROVINSI ACEH,2020-09-02,-4,10,-7,-29,-11,4
PROVINSI ACEH,2020-09-03,-4,8,-14,-32,-12,5
PROVINSI ACEH,2020-09-04,-5,9,-9,-30,-12,6
PROVINSI ACEH,2020-09-05,-10,0,-23,-36,-8,7
PROVINSI ACEH,2020-09-06,-3,7,-13,-29,4,5
PROVINSI ACEH,2020-09-07,-1,9,-6,-27,-12,5
PROVINSI ACEH,2020-09-08,-7,5,-12,-26,-14,6
PROVINSI ACEH,2020-09-09,-6,6,-10,-28,-13,5
PROVINSI ACEH,2020-09-10,-4,7,-13,-27,-14,4
PROVINSI ACEH,2020-09-11,-10,1,-20,-28,-16,4
PROVINSI ACEH,2020-09-12,-8,1,-20,-26,-11,4
PROVINSI ACEH,2020-09-13,-7,0,-18,-22,1,5
PROVINSI ACEH,2020-09-14,-4,6,-8,-18,-10,4
PROVINSI ACEH,2020-09-15,-8,4,-11,-22,-12,4
PROVINSI ACEH,2020-09-16,-5,6,-6,-18,-13,5
PROVINSI ACEH,2020-09-17,-6,4,-11,-24,-13,6
PROVINSI ACEH,2020-09-18,-13,-2,-19,-30,-14,8
PROVINSI ACEH,2020-09-19,-10,0,-22,-32,-9,7
PROVINSI ACEH,2020-09-20,-6,3,-15,-26,5,7
PROVINSI ACEH,2020-09-21,-4,6,-6,-22,-13,6
PROVINSI ACEH,2020-09-22,-12,-2,-13,-21,-16,6
PROVINSI ACEH,2020-09-23,-17,-6,-21,-29,-19,7
PROVINSI ACEH,2020-09-24,-17,-5,-20,-29,-19,6
PROVINSI ACEH,2020-09-25,-18,-5,-20,-28,-17,6
PROVINSI ACEH,2020-09-26,-16,-5,-21,-28,-12,7
PROVINSI ACEH,2020-09-27,-14,-5,-15,-24,-3,6
PROVINSI ACEH,2020-09-28,-13,-1,-14,-26,-15,6
PROVINSI ACEH,2020-09-29,-16,-5,-15,-25,-18,5
PROVINSI ACEH,2020-09-30,-15,-2,-15,-24,-21,2
PROVINSI ACEH,2020-10-01,-13,6,-17,-22,-22,-3
PROVINSI ACEH,2020-10-02,-12,6,-19,-27,-22,-3
PROVINSI ACEH,2020-10-03,-14,1,-25,-30,-21,-1
PROVINSI ACEH,2020-10-04,-9,3,-13,-21,-13,-1
PROVINSI ACEH,2020-10-05,-6,9,-6,-20,-22,-5
PROVINSI ACEH,2020-10-06,-11,4,-9,-20,-23,-4
PROVINSI ACEH,2020-10-07,-13,0,-19,-25,-21,-1
PROVINSI ACEH,2020-10-08,-7,8,-8,-23,-18,1
PROVINSI ACEH,2020-10-09,-12,1,-16,-28,-18,5
PROVINSI ACEH,2020-10-10,-14,-3,-25,-32,-16,6
PROVINSI ACEH,2020-10-11,-7,4,-14,-24,-4,4
PROVINSI ACEH,2020-10-12,-8,6,-10,-24,-17,4
PROVINSI ACEH,2020-10-13,-10,5,-11,-20,-18,4
PROVINSI ACEH,2020-10-14,-7,6,-7,-20,-16,3
PROVINSI ACEH,2020-10-15,-4,12,-6,-16,-16,3
PROVINSI ACEH,2020-10-16,-9,8,-12,-24,-15,5
PROVINSI ACEH,2020-10-17,-12,1,-25,-23,-13,6
PROVINSI ACEH,2020-10-18,-4,8,-9,-18,-3,4
PROVINSI ACEH,2020-10-19,-6,8,-7,-17,-15,4
PROVINSI ACEH,2020-10-20,-8,6,-5,-18,-16,3
PROVINSI ACEH,2020-10-21,-9,5,-13,-23,-17,1
PROVINSI ACEH,2020-10-22,-5,9,-7,-20,-19,-2
PROVINSI ACEH,2020-10-23,-10,6,-14,-28,-19,-2
PROVINSI ACEH,2020-10-24,-13,-1,-23,-27,-16,-1
PROVINSI ACEH,2020-10-25,-6,6,-9,-23,-9,-1
PROVINSI ACEH,2020-10-26,-4,10,-1,-22,-18,-4
PROVINSI ACEH,2020-10-27,-7,7,-6,-15,-20,-5
PROVINSI ACEH,2020-10-28,-8,7,-1,-12,-44,-2
PROVINSI ACEH,2020-10-29,-11,-2,4,-20,-54,-1
PROVINSI ACEH,2020-10-30,-13,-4,-9,-26,-46,1
PROVINSI ACEH,2020-10-31,-12,-4,-12,-19,-25,-2
PROVINSI ACEH,2020-11-01,-8,0,-10,-13,-13,-4
PROVINSI ACEH,2020-11-02,-5,7,-12,-16,-19,-5
PROVINSI ACEH,2020-11-03,-11,0,-23,-23,-22,-4
PROVINSI ACEH,2020-11-04,-10,5,-19,-21,-20,-4
PROVINSI ACEH,2020-11-05,-10,5,-20,-19,-21,-4
PROVINSI ACEH,2020-11-06,-17,-2,-24,-26,-21,-2
PROVINSI ACEH,2020-11-07,-13,-2,-27,-28,-20,-2
PROVINSI ACEH,2020-11-08,-9,0,-16,-22,-14,-3
PROVINSI ACEH,2020-11-09,-9,4,-14,-22,-20,-5
PROVINSI ACEH,2020-11-10,-11,2,-14,-18,-21,-4
PROVINSI ACEH,2020-11-11,-9,5,-14,-16,-20,-4
PROVINSI ACEH,2020-11-12,-9,4,-17,-19,-21,-4
PROVINSI ACEH,2020-11-13,-15,-2,-25,-23,-20,-2
PROVINSI ACEH,2020-11-14,-11,0,-22,-23,-17,-3
PROVINSI ACEH,2020-11-15,-9,0,-12,-19,-12,-3
PROVINSI ACEH,2020-11-16,-9,3,-13,-19,-19,-4
PROVINSI ACEH,2020-11-17,-12,1,-14,-19,-20,-4
PROVINSI ACEH,2020-11-18,-13,-1,-22,-26,-20,-3
PROVINSI ACEH,2020-11-19,-13,-1,-27,-27,-20,-3
PROVINSI ACEH,2020-11-20,-15,0,-25,-26,-19,-3
PROVINSI ACEH,2020-11-21,-14,-3,-30,-29,-17,-2
PROVINSI ACEH,2020-11-22,-10,0,-23,-26,-14,-2
PROVINSI ACEH,2020-11-23,-10,2,-18,-22,-19,-4
PROVINSI ACEH,2020-11-24,-13,1,-20,-23,-21,-4
PROVINSI ACEH,2020-11-25,-9,5,-18,-23,-18,-5
PROVINSI ACEH,2020-11-26,-16,-2,-33,-28,-23,-1
PROVINSI ACEH,2020-11-27,-15,0,-29,-28,-19,-3
PROVINSI ACEH,2020-11-28,-13,0,-31,-34,-16,-2
PROVINSI ACEH,2020-11-29,-8,2,-20,-29,-11,-2
PROVINSI ACEH,2020-11-30,-9,5,-17,-26,-17,-5
PROVINSI ACEH,2020-12-01,-7,11,-14,-20,-19,-5
PROVINSI ACEH,2020-12-02,-9,9,-19,-28,-17,-5
PROVINSI ACEH,2020-12-03,-7,12,-19,-22,-18,-5
PROVINSI ACEH,2020-12-04,-17,1,-29,-33,-21,-1
PROVINSI ACEH,2020-12-05,-17,-2,-35,-36,-20,-1
PROVINSI ACEH,2020-12-06,-7,6,-19,-25,-14,-3
PROVINSI ACEH,2020-12-07,-8,7,-18,-27,-20,-6
PROVINSI ACEH,2020-12-08,-9,6,-14,-26,-18,-6
PROVINSI ACEH,2020-12-09,-11,4,-13,-25,-44,2
PROVINSI ACEH,2020-12-10,-13,1,-23,-21,-16,0
PROVINSI ACEH,2020-12-11,-8,9,-15,-22,-14,0
PROVINSI ACEH,2020-12-12,-9,6,-20,-23,-13,1
PROVINSI ACEH,2020-12-13,-7,3,-13,-15,-8,2
PROVINSI ACEH,2020-12-14,-6,7,-10,-16,-14,0
PROVINSI ACEH,2020-12-15,-8,6,-10,-11,-18,1
PROVINSI ACEH,2020-12-16,-8,7,-14,-14,-17,1
PROVINSI ACEH,2020-12-17,-7,8,-15,-16,-18,1
PROVINSI ACEH,2020-12-18,-9,9,-13,-13,-17,1
PROVINSI ACEH,2020-12-19,-7,8,-15,-11,-14,0
PROVINSI ACEH,2020-12-20,-7,1,-15,-7,-11,2
PROVINSI ACEH,2020-12-21,-8,5,-8,-8,-24,2
PROVINSI ACEH,2020-12-22,-4,10,0,1,-25,0
PROVINSI ACEH,2020-12-23,-3,14,1,6,-24,0
PROVINSI ACEH,2020-12-24,-2,15,9,14,-46,3
PROVINSI ACEH,2020-12-25,-10,6,6,-2,-50,6
PROVINSI ACEH,2020-12-26,-8,7,-3,-4,-30,2
PROVINSI ACEH,2020-12-27,-4,6,4,4,-13,-1
PROVINSI ACEH,2020-12-28,-3,14,6,6,-26,1
PROVINSI ACEH,2020-12-29,-6,10,6,8,-27,1
PROVINSI ACEH,2020-12-30,-5,12,6,5,-27,0
PROVINSI ACEH,2020-12-31,1,20,27,6,-43,1
PROVINSI ACEH,2021-01-01,-11,6,20,-4,-54,6
PROVINSI ACEH,2021-01-02,-8,9,10,1,-33,2
PROVINSI ACEH,2021-01-03,-7,6,-5,9,-15,1
PROVINSI ACEH,2021-01-04,-8,10,-8,-8,-16,0
PROVINSI ACEH,2021-01-05,-8,11,-8,-10,-17,0
PROVINSI ACEH,2021-01-06,-6,14,-8,-9,-15,0
PROVINSI ACEH,2021-01-07,-5,13,-12,-11,-15,0
PROVINSI ACEH,2021-01-08,-11,8,-17,-19,-16,1
PROVINSI ACEH,2021-01-09,-10,6,-20,-14,-16,0
PROVINSI ACEH,2021-01-10,-10,6,-18,-18,-13,1
PROVINSI ACEH,2021-01-11,-7,9,-12,-14,-16,-1
PROVINSI ACEH,2021-01-12,-12,3,-17,-11,-18,-1
PROVINSI ACEH,2021-01-13,-19,-5,-26,-20,-20,-2
PROVINSI ACEH,2021-01-14,-18,-4,-28,-28,-25,-3
PROVINSI ACEH,2021-01-15,-26,-14,-34,-36,-29,-2
PROVINSI ACEH,2021-01-16,-28,-17,-40,-38,-31,0
PROVINSI ACEH,2021-01-17,-20,-11,-22,-30,-26,0
PROVINSI ACEH,2021-01-18,-22,-11,-25,-32,-27,-2
PROVINSI ACEH,2021-01-19,-25,-15,-28,-34,-29,-2
PROVINSI ACEH,2021-01-20,-22,-8,-28,-32,-27,-1
PROVINSI ACEH,2021-01-21,-20,-5,-25,-33,-27,-2
PROVINSI ACEH,2021-01-22,-22,-9,-29,-34,-26,-1
PROVINSI ACEH,2021-01-23,-21,-9,-28,-31,-25,-1
PROVINSI ACEH,2021-01-24,-19,-9,-21,-28,-22,0
PROVINSI ACEH,2021-01-25,-18,-5,-23,-30,-24,-2
PROVINSI ACEH,2021-01-26,-21,-9,-26,-30,-25,-2
PROVINSI ACEH,2021-01-27,-22,-10,-29,-33,-24,-1
PROVINSI ACEH,2021-01-28,-19,-6,-27,-30,-24,-2
PROVINSI ACEH,2021-01-29,-20,-7,-29,-34,-23,-4
PROVINSI ACEH,2021-01-30,-19,-7,-29,-29,-24,-6
PROVINSI ACEH,2021-01-31,-16,-6,-20,-24,-21,-5
PROVINSI ACEH,2021-02-01,-16,-1,-24,-28,-24,-8
PROVINSI ACEH,2021-02-02,-18,-2,-24,-22,-26,-9
PROVINSI ACEH,2021-02-03,-17,-4,-26,-27,-26,-8
PROVINSI ACEH,2021-02-04,-16,-3,-27,-28,-27,-8
PROVINSI ACEH,2021-02-05,-18,-3,-25,-29,-27,-7
PROVINSI ACEH,2021-02-06,-20,-9,-30,-31,-29,-5
PROVINSI ACEH,2021-02-07,-15,-6,-21,-30,-27,-5
PROVINSI ACEH,2021-02-08,-16,-5,-25,-26,-28,-8
PROVINSI ACEH,2021-02-09,-17,-5,-23,-24,-28,-7
PROVINSI ACEH,2021-02-10,-18,-6,-26,-25,-28,-9
PROVINSI ACEH,2021-02-11,-14,-1,-24,-20,-28,-10
PROVINSI ACEH,2021-02-12,-18,-3,-14,-24,-57,-2
PROVINSI ACEH,2021-02-13,-18,-3,-20,-35,-32,-6
PROVINSI ACEH,2021-02-14,-14,0,-15,-19,-27,-7
PROVINSI ACEH,2021-02-15,-15,0,-22,-22,-27,-9
PROVINSI ACEH,2021-02-16,-17,-1,-26,-23,-28,-8
PROVINSI ACEH,2021-02-17,-16,0,-25,-28,-26,-8
PROVINSI ACEH,2021-02-18,-14,3,-26,-25,-26,-8
PROVINSI ACEH,2021-02-19,-17,1,-27,-32,-25,-8
PROVINSI ACEH,2021-02-20,-14,1,-25,-28,-26,-7
PROVINSI ACEH,2021-02-21,-13,2,-17,-31,-24,-6
PROVINSI ACEH,2021-02-22,-14,1,-22,-30,-25,-9
PROVINSI ACEH,2021-02-23,-17,-1,-25,-29,-26,-9
PROVINSI ACEH,2021-02-24,-16,0,-26,-26,-25,-8
PROVINSI ACEH,2021-02-25,-13,4,-27,-26,-25,-8
PROVINSI ACEH,2021-02-26,-15,3,-25,-30,-24,-8
PROVINSI ACEH,2021-02-27,-13,3,-23,-30,-24,-7
PROVINSI ACEH,2021-02-28,-11,4,-13,-24,-22,-6
PROVINSI ACEH,2021-03-01,-9,10,-23,-27,-23,-9
PROVINSI ACEH,2021-03-02,-13,6,-25,-25,-24,-9
PROVINSI ACEH,2021-03-03,-12,7,-25,-29,-24,-8
PROVINSI ACEH,2021-03-04,-10,10,-22,-22,-24,-9
PROVINSI ACEH,2021-03-05,-14,5,-27,-27,-23,-8
PROVINSI ACEH,2021-03-06,-12,4,-26,-27,-26,-6
PROVINSI ACEH,2021-03-07,-9,7,-14,-22,-25,-5
PROVINSI ACEH,2021-03-08,-9,7,-15,-23,-23,-10
PROVINSI ACEH,2021-03-09,-13,5,-19,-20,-24,-9
PROVINSI ACEH,2021-03-10,-9,7,-16,-21,-23,-10
PROVINSI ACEH,2021-03-11,-10,8,-1,-17,-58,-2
PROVINSI ACEH,2021-03-12,-13,6,-18,-27,-25,-7
PROVINSI ACEH,2021-03-13,-11,5,-19,-26,-26,-6
PROVINSI ACEH,2021-03-14,-9,7,-11,-18,-23,-6
PROVINSI ACEH,2021-03-15,-8,10,-15,-19,-21,-10
PROVINSI ACEH,2021-03-16,-13,3,-22,-21,-23,-9
PROVINSI ACEH,2021-03-17,-12,6,-22,-27,-21,-8
PROVINSI ACEH,2021-03-18,-10,8,-24,-25,-21,-9
PROVINSI ACEH,2021-03-19,-11,10,-20,-30,-20,-9
PROVINSI ACEH,2021-03-20,-9,9,-18,-28,-21,-8
PROVINSI ACEH,2021-03-21,-8,11,-7,-28,-22,-6
PROVINSI ACEH,2021-03-22,-9,9,-19,-28,-20,-9
PROVINSI ACEH,2021-03-23,-12,5,-20,-27,-22,-9
PROVINSI ACEH,2021-03-24,-12,6,-25,-28,-21,-8
PROVINSI ACEH,2021-03-25,-12,7,-27,-25,-20,-8
PROVINSI ACEH,2021-03-26,-15,6,-28,-34,-19,-7
PROVINSI ACEH,2021-03-27,-12,6,-26,-32,-21,-6
